Order_ID,Order_Date,Customer_Name,Region,Category,Product,Quantity,Price,Sales_Amount,Customer_Segment,Payment_Method,Sales_Channel
ORD100986,,Customer_8183,South,Furniture,Shirt,2.0,96778.81,193557.62,Small Business,Debit Card,Marketplace
ORD101084,2025-11-04,Customer_2025,North,Beauty,Keyboard,8.0,62860.99,502887.92,Corporate,UPI,Marketplace
ORD101776,2025-03-28,Customer_3703,East,Furniture,Laptop,6.0,20437.48,122624.88,,Cash,Store
ORD100100,2024-11-28,Customer_6262,EAST,Grocery,Monitor,14.0,74609.12,1044527.68,Consumer,Credit Card,Marketplace
ORD101180,2024-06-04,Customer_2923,West,Grocery,Chair,6.0,3063.86,18383.16,Consumer,UPI,Online
ORD100965,,Customer_4290, North,Furniture,Headphones,6.0,27716.52,166299.12,Small Business,Debit Card,Online
ORD100793,2024-03-11,Customer_1257,Central,Beauty,Backpack,7.0,38828.59,271800.13,Corporate,Cash,Store
ORD100030,2025-08-26,Customer_9618,South,Furniture,Monitor,1.0,82012.7,82012.7,Corporate,Net Banking,Online
ORD100629,2024-11-20,Customer_7214,North,Clothing,Laptop,5.0,49983.45,249917.25,Corporate,Debit Card,Marketplace
ORD100945,2024-03-28,Customer_6916,North,Beauty,LAPTOP,13.0,94669.13,1230698.69,Consumer,Net Banking,Online
ORD100573,2025-06-07,Customer_9008,East,Grocery,Keyboard,6.0,27847.49,167084.94,Small Business,Cash,Marketplace
ORD100908,2025-12-26,Customer_2430,West,Furniture,Shirt,10.0,8975.14,89751.4,Small Business,Credit Card,Marketplace
ORD101081,2025-02-17,Customer_4519,South,grocery,Monitor,3.0,98181.69,294545.07, Small Business,UPI,marketplace
ORD100451,2025-11-29,Customer_1860,East,Clothing ,Headphones,8.0,5939.62,47516.96,,Cash,Store
ORD101610,2024-10-06,Customer_5026,North,Beauty,Shoes,6.0,72590.16,435540.96,Corporate,Net Banking,Store
ORD101291,2024-10-29,Customer_4751,East,Sports,Backpack,8.0,14791.48,118331.84,Consumer,Net Banking,Online
ORD101079,2024-11-27,Customer_7370,West,Furniture,Chair,8.0,69961.61,559692.88,Corporate,Debit Card,Online
ORD100255,2024-07-13,Customer_7809,North,Beauty,Desk,1.0,59911.53,59911.53,Consumer,Net Banking,Marketplace 
ORD100125,2025-03-14,,East,Clothing,Mobile,1.0,22631.46,22631.46,Corporate,UPI,Marketplace
ORD100807,2025-03-21,Customer_2753,Central,Sports,Keyboard,7.0,63685.42,445797.94,Small Business,Credit Card,Marketplace
ORD100252,2024-09-05,Customer_1981,North,Sports,Desk,7.0,85812.83,600689.81,Corporate,Net Banking,Store
ORD100586,2025-11-19,Customer_1356,South,Sports,Monitor,10.0,29805.77,298057.7,Small Business,Debit Card,Store
ORD101569,2025-11-17,Customer_8570,South,Beauty,,6.0,13238.67,79432.02,Corporate,Net Banking,
ORD100825,2025-04-20,Customer_2320,West,Furniture,Shirt,13.0,17430.66,226598.58,Consumer,Credit Card,Online
ORD100508,2025-03-20,Customer_9442,East,Electronics,Chair,6.0,76883.12,461298.72,Small Business,Debit Card,Store
ORD100890,2025-12-07,Customer_2204,North,Clothing,Mobile,9.0,88225.35,,Small Business,Net Banking,Store
ORD100071,2025-01-24,Customer_8756,West,Electronics,Laptop,12.0,82169.14,986029.68,Consumer,UPI,Store
ORD101609,2024-07-03,Customer_1567,East,Clothing,Backpack,10.0,20577.62,205776.2,Consumer,Debit Card,Store
,2025-11-01,Customer_2731,East,Clothing,Chair,12.0,3690.27,44283.24,Consumer,Net Banking,Online
ORD100248,,Customer_7653,East,Electronics,Shirt,,9616.62,96166.2,Corporate,Credit Card,Marketplace
ORD101451,2025-08-23,Customer_5444,South,Clothing,Shoes,,86706.65,953773.15,Corporate,UPI,Marketplace
ORD100213,,Customer_5982,East,BEAUTY,Backpack,7.0,84639.9,592479.3,Corporate,UPI,Marketplace
ORD100910,2024-05-09,Customer_8061,South,Sports,Keyboard,6.0,54556.04,327336.24,Small Business,Net Banking,Marketplace
ORD101742,2024-07-17,Customer_7323,West,Electronics,Shoes,7.0,76334.53,534341.71,,Net Banking,Online
ORD101245,2025-11-29,Customer_6631,West,Electronics,Mobile,6.0,86188.08,517128.48,Consumer,Cash,Marketplace
ORD101697,2025-02-10,Customer_6514,Central,Electronics,Desk,8.0,24656.16,197249.28,Small Business,net banking,Store
ORD101183,2024-05-09,Customer_6744,West,Electronics,Desk,12.0,45114.64,541375.68,Corporate,,Store
ORD100362,2025-10-22,Customer_8780,East,Beauty,Shirt,14.0,58747.46,822464.44,Small Business,UPI, Marketplace
ORD101474,2024-06-27,Customer_4974,North,Grocery,shoes,,78323.36,939880.32,Corporate,UPI,Marketplace
ORD100679,2024-01-21,Customer_7821,North,Furniture,Shirt,1.0,83070.39,83070.39,SMALL BUSINESS,Debit Card,Online
ORD101622,2024-05-25,Customer_9614,North,Beauty,Desk,3.0,94744.79,284234.37,Consumer,Net Banking,Store
ORD101090,2025-06-14,Customer_4228,East,Electronics,Chair,14.0,6927.26,96981.64,Corporate,Debit Card,Marketplace
ORD101095,2025-03-28,Customer_9646,South,Electronics,Headphones,14.0,82471.03,1154594.42,Corporate,Debit Card,Online
ORD101848,2024-09-15,Customer_5896,North,Furniture,Laptop,10.0,84343.48,843434.8,Small Business,Credit Card,Marketplace
ORD100988,2024-10-22,Customer_2133,West,Grocery,Laptop,14.0,11852.63,165936.82,Small Business,UPI,Marketplace
ORD101513,2024-03-08,Customer_7461,East,Beauty,Mobile,2.0,10570.33,21140.66,Consumer,UPI,Online
ORD100112,2025-11-02,Customer_1693,North,Clothing,Shirt,9.0,53082.4,477741.6,Corporate,Debit Card,Marketplace
ORD101488,2025-04-07,Customer_1157,North,Beauty,Shirt,8.0,57223.74,457789.92,Small Business,Net Banking,Online
ORD101454,2024-12-02,Customer_2956,North,Electronics,Mobile,1.0,55510.27,55510.27,Corporate,UPI,Marketplace
ORD100384,2025-03-24,Customer_8225,East,Furniture,Chair,7.0,89681.76,627772.32,Small Business, UPI,Store
ORD101396,2024-08-28,Customer_3877,North,Electronics,Shirt,12.0,79360.06,952320.72, Small Business,Net Banking,Online
ORD101055,2025-10-12,Customer_5919,West,Sports,Laptop,5.0,23353.04,116765.2,Consumer,Debit Card,Marketplace
,2025-04-21,Customer_6404,East,Beauty,Desk,7.0,74197.03,519379.21,Small Business,UPI,Store
ORD100325,2025-05-03,Customer_9261,West,Clothing,Headphones,3.0,91875.91,275627.73,Consumer,UPI,Store
ORD101624,2024-02-01,Customer_9907,Central,Beauty,Desk,14.0,72525.62,1015358.68,Small Business,Cash,Store
ORD100788,2024-12-21,Customer_8471,Central,Grocery,Laptop,7.0,287.8,2014.6,Corporate,UPI,Online
ORD100369,2025-09-28,Customer_1436,North,Sports,Mobile,2.0,84732.02,169464.04,Consumer,Debit Card,Marketplace
ORD101820,2024-02-10,Customer_7078,East,Electronics,Backpack,12.0,18101.56,217218.72,Corporate,Net Banking,Online
ORD100070,2024-04-13,Customer_9897,East,Beauty,Keyboard,12.0,6656.05,79872.6,Consumer,Debit Card,Marketplace
ORD100858,2025-05-17,Customer_5903,South,Grocery,Shirt,8.0,802.22,6417.76,Small Business,Net Banking,Marketplace
ORD101484,2025-01-05,Customer_1391,South,Clothing,Mobile,6.0,82688.79,496132.74,Small Business,Cash,Store
,2024-04-03,Customer_5066,West,,Keyboard,1.0,3239.04,3239.04,Consumer,, Online
ORD101692,,Customer_6978,West,Beauty,Shirt,3.0,80827.12,242481.36,Small Business,Credit Card ,Online
ORD101475,2024-09-28,Customer_8600,East,Grocery,Mobile,2.0,71532.37,143064.74,Consumer,Net Banking,Online
ORD101799,2025-04-18,,West,Furniture,Monitor,9.0,15045.18,135406.62,Consumer,UPI,Store
ORD100479,2025-04-16,Customer_5742,South,Grocery,Desk,9.0,59321.92,533897.28,,UPI,Online
ORD100282,2025-04-18,,Central,Furniture,Mobile,11.0,12384.78,136232.58,Corporate,Net Banking,Online
ORD101648,2025-11-08,Customer_2640,East,Furniture,Desk,10.0,89777.7,897777.0,Consumer,Debit Card,Marketplace
ORD101557,2024-03-28,Customer_6828,East,Clothing,Keyboard,12.0,73646.42,883757.04,Small Business,Cash,Online
ORD101730,2025-02-09,Customer_6500,East,Sports,Headphones,5.0,22566.53,112832.65,Consumer,Debit Card,Marketplace
ORD100211,2025-12-31,Customer_9488,Central,Sports,Headphones,11.0,96081.98,1056901.78,Corporate,Net Banking,Marketplace
ORD100298,2024-08-06,Customer_8491,North,Beauty,Mobile,3.0,58053.21,174159.63,Small Business,Cash,Online
ORD101885,2024-11-12,Customer_2641,East,Furniture,Chair,14.0,87810.65,1229349.1,Small Business,UPI,Store
ORD101834,2024-12-12,Customer_2584,North,Furniture,Keyboard,4.0,76495.44,305981.76,Consumer,Debit Card,Online
ORD100652,2024-08-28,Customer_4839,north,Clothing,Shirt,10.0,49595.67,495956.7,Corporate,Credit Card,Marketplace
ORD101234,2024-11-28,Customer_4568, West,ELECTRONICS,Mobile,13.0,91022.45,1183291.85,Consumer,Debit Card,Marketplace
ORD101503,2025-12-03,Customer_1719,East,Beauty,Backpack,13.0,87563.57,1138326.41,Small Business,UPI,Marketplace
ORD101049,2025-10-29,Customer_8801,Central,Electronics,Mobile,10.0,36101.74,361017.4,Small Business,Credit Card,Store
ORD100917,2024-05-09,Customer_6798,Central,Electronics,Mobile,9.0,61328.73,551958.57,Consumer,Credit Card,Store
ORD100994,2025-12-04,Customer_5139,East,Beauty,Keyboard,6.0,72546.04,435276.24,Corporate,Net Banking,Online
ORD100430,2025-03-13,Customer_5758,West,BEAUTY,Headphones,13.0,25638.94,333306.22,Consumer,Debit Card,Marketplace
ORD101371,2025-11-22,Customer_9791,West,Grocery,Laptop,5.0,80678.28,403391.4,Small Business,UPI,Marketplace
ORD100240,2024-03-13,Customer_7825,West, Sports,Headphones,11.0,41361.81,454979.91,Small Business,Net Banking,Online
ORD100880,2025-04-09,Customer_9038,West,Electronics,,12.0,62007.97,744095.64,Corporate,Credit Card,Store
ORD100621,2024-05-04,Customer_4648,South,Clothing,Headphones,2.0,83446.91,166893.82,Consumer,Credit Card,Online
ORD100257,2024-04-09,Customer_8609,South,Sports,Desk,1.0,23779.08,,Corporate,Credit Card, Store
ORD100612,2025-03-11,Customer_9835,South,Furniture,Chair,8.0,24933.17,199465.36,Small Business,UPI,Store
ORD100545,2024-10-29,Customer_3509,North,Furniture,Chair,14.0,32320.54,452487.56,Consumer,,Online
ORD100772,2025-01-19,Customer_4015,North,Clothing,Mobile,13.0,83284.78,1082702.14,Consumer,Net Banking,Online
ORD101420,2025-03-31,Customer_9128,South,Sports, Keyboard,,63245.77,316228.85,Small Business,Cash,Marketplace
ORD101042,2025-11-19,Customer_6110,South,Electronics,Mobile,10.0,,655627.1,Small Business,Net Banking,Marketplace
ORD101790,2025-01-12,Customer_2571,West,Beauty,Monitor,7.0,25356.08,177492.56,Small Business,,Marketplace
ORD100760,2024-06-20,Customer_9180,South,Clothing,Chair,10.0,87993.67,879936.7,small business,Debit Card,Store
ORD100383,2024-06-10,Customer_1310,East,Clothing,Monitor,8.0,43143.12,345144.96,,Net Banking,Store
ORD101104,2025-05-11,Customer_5873,North,Sports,Mobile,12.0,34106.54,409278.48,Small Business,UPI,Store
ORD100974,2024-09-02,Customer_6339,Central,Clothing,Backpack,5.0,61385.97,306929.85,Small Business,UPI,Marketplace
,2024-09-24,Customer_3662,West,Beauty,Mobile,11.0,63057.85,693636.35,Consumer,Cash,Marketplace
ORD101606,2025-12-11,Customer_5585,East,Beauty,Shirt,12.0,64494.66,773935.92,Corporate,Cash,Store
ORD101826,2025-06-19,Customer_5313,West,Grocery,Backpack,8.0,34525.95,276207.6,Corporate,UPI,Marketplace
ORD101037,2024-08-22,Customer_7815,Central,Clothing,Backpack,3.0,10723.74,32171.22,Corporate,UPI,Store
ORD101108,2025-09-15,Customer_2931,East,Furniture,Shirt,6.0,83831.4,502988.4,Small Business, Debit Card,Marketplace
ORD100495,2025-02-13,Customer_2845,North,Grocery,Laptop,3.0,17130.75,51392.25,Corporate,Net Banking,Online
ORD100394,2024-11-02,Customer_3262,West,Sports,Desk,14.0,52356.16,732986.24,Consumer,UPI,Marketplace
ORD101547,2025-03-13,Customer_2964,South,Furniture,Shoes,,78223.33,547563.31,Consumer,Net Banking,Online
ORD100465,2024-07-02,Customer_6262,East,Beauty,Shirt,6.0,77285.01,463710.06,Small Business,UPI,Marketplace
ORD100887,2024-11-19,Customer_2404,South,Clothing,Chair,2.0,73271.63,146543.26,Corporate,UPI,Store
ORD101194,,Customer_3758,West,Furniture,Monitor,9.0,95407.91,858671.19,Small Business,Net Banking,Online
ORD100367,2024-01-10,Customer_7824,East,Grocery,Shoes,2.0,54282.13,108564.26,Consumer,UPI,Store
ORD101894,2024-03-20,Customer_8955,North,Clothing,Desk,14.0,38205.96,534883.44,Small Business,UPI,Marketplace
ORD101874,2025-12-20,Customer_6343,North,Furniture,Keyboard,9.0,98192.38,883731.42,Consumer,Credit Card,Marketplace
ORD100745,2024-07-23,Customer_6126,South,Electronics,Backpack,11.0,,818048.44,Small Business ,Cash,Online
ORD100530,2024-03-12,Customer_2017,North,Clothing,Shirt,2.0,16260.24,32520.48,Consumer,UPI,Marketplace
ORD100803,2025-10-12,Customer_1280,South,,Backpack,,59976.96,719723.52,Small Business,Credit Card,Store
ORD101224,2024-04-10,Customer_8449,East,Sports,Laptop,1.0,74124.03,74124.03,Small Business,UPI,
ORD100431,2025-07-28,Customer_1689,Central,Beauty,Backpack,1.0,30275.84,30275.84,Consumer,,Store
ORD101150,2025-08-24,Customer_5785,East,Sports,Headphones,11.0,4072.62,44798.82,Corporate, Net Banking,Marketplace
ORD101700,2024-01-20,Customer_3235,Central,Clothing,Monitor,1.0,144.23,144.23,Small Business,Cash,Marketplace
ORD101545,2024-04-07,,Central,Clothing,Shirt,3.0,66719.98,200159.94,Corporate,Cash,Online
ORD101314,2025-11-06,Customer_2420,East,Sports,Keyboard,6.0,82698.82,496192.92,Small Business,Cash ,Store
ORD100307,2024-10-19,Customer_5681,EAST,Clothing,Headphones,4.0,73316.6,293266.4,Small Business,Debit Card,Marketplace
ORD101667,2025-11-14,Customer_9882,Central,Grocery,,11.0,1517.59,16693.49,Corporate,Debit Card,Marketplace
ORD100863,2024-08-14,Customer_6435,South,Beauty,Laptop,8.0,92270.04,738160.32,Consumer,Debit Card,Marketplace
ORD101567,2025-07-29,Customer_5093,South,Furniture,Monitor,4.0,26798.54,107194.16,Consumer,Credit Card,Online
ORD100531,2025-11-11,Customer_2936,West,Grocery,Shirt,12.0,78648.97,,Consumer,Debit Card,Marketplace
ORD100655,2024-11-23,Customer_1924,North,Electronics,Headphones,14.0,22773.77,318832.78,Consumer,UPI,Store 
ORD101260,2025-10-15,Customer_3604,,Furniture,Backpack,2.0,16646.27,33292.54,Consumer,Credit Card,Online
ORD100234,2025-10-08,Customer_1674,North,Grocery,Monitor,5.0,77622.42,388112.1,Corporate,Cash,Store
ORD100121,2025-07-28,Customer_3621,North,electronics,Backpack,9.0,59872.89,538856.01,Consumer,Debit Card,Online
ORD101698,2024-02-13,Customer_5944,South,Furniture,Desk,11.0,40336.16,443697.76,Corporate, UPI,Store
ORD100950,2025-09-12,,Central,,Mobile,8.0,9505.78,76046.24,Consumer,UPI,Marketplace
ORD100618,2024-02-21,Customer_7439,South,Furniture,Mobile,4.0,19050.52,76202.08,Small Business,Cash,Marketplace
ORD101179,2025-10-29,Customer_8193,East,Electronics,Keyboard,8.0,57520.48,460163.84,Small Business,Credit Card,Marketplace
ORD100308,2025-03-09,Customer_9793,Central,Clothing,Desk,,16321.95,114253.65,,Debit Card,Online
ORD100136,2024-06-05,Customer_7095,South,Grocery,Backpack,11.0,97472.52,1072197.72,Corporate,,Marketplace
ORD100555,2025-08-05,Customer_9609,East,Clothing,Mobile,14.0,60676.46,849470.44,Small Business,Credit Card,Online
ORD101674,2024-01-08,Customer_4811,West,Electronics,Monitor,7.0,96708.56,676959.92,Corporate,Net Banking,Store
ORD100584,2024-04-05,Customer_8575,East,Beauty,Mobile,5.0,75449.93,,Consumer,Debit Card,Online
ORD101641,2024-06-10,Customer_5602,North,Sports,Keyboard,2.0,76109.35,152218.7,Consumer,UPI,Online
ORD100671,2025-04-22,Customer_3869,South,Furniture,Keyboard,13.0,46248.5,601230.5,corporate,upi, Store
ORD100835,2025-05-14,Customer_2354,Central,,Backpack,3.0,56598.44,169795.32,Consumer,Credit Card,
ORD100110,2024-11-18,Customer_6759,South,Electronics,Backpack,8.0,15450.44,123603.52,Small Business,Credit Card,Online
ORD101165,2024-07-12,Customer_9880,Central,Beauty,Keyboard,14.0,83348.38,1166877.32,Corporate,UPI,Online
ORD101393,2025-05-19,Customer_8428,South,Sports,Chair,12.0,33407.39,400888.68,Corporate, Debit Card,Store
ORD101465,2025-11-07,Customer_6090,North ,Clothing,MONITOR,6.0,40204.42,241226.52,Corporate,UPI,Online
ORD101729,2024-03-21,Customer_2453,West,Grocery ,Headphones,2.0,67987.04,135974.08,Small Business,Net Banking,Online
ORD101243,2025-02-25,Customer_3139,Central,Beauty,Keyboard,11.0,7853.7,86390.7,Small Business,Credit Card,Store
ORD100212,2024-11-15,Customer_3507,South,Beauty,Shirt,10.0,41649.15,416491.5,Small Business,Net Banking,Store
ORD101768,2025-10-01,Customer_3636,North,Beauty,,8.0,39243.21,313945.68,,Debit Card,Online
ORD101121,2024-04-30,Customer_4043,East,Beauty,MONITOR,10.0,86868.3,868683.0,Corporate,Cash,Online
ORD100680,2025-08-12,Customer_7688,Central,Clothing,Chair,3.0,6964.41,20893.23,Small Business,Debit Card,Marketplace
ORD101893,2024-06-07,Customer_7275,North,Electronics, Shirt,5.0,20619.6,103098.0,Corporate,Credit Card,Marketplace
ORD101839,2025-10-24,Customer_4727,West,Sports,Shoes,2.0,48301.79,96603.58,Corporate,UPI,Online
ORD100412,2025-06-01,,West,Beauty,Chair,13.0,91783.47,1193185.11,Consumer,UPI,Store
,2025-08-16,Customer_2380,West,Clothing,Backpack ,14.0,15137.1,211919.4,small business,Net Banking,Online
ORD100783,2025-12-01,Customer_2113,West,Beauty,Shirt,12.0,64372.18,772466.16,Consumer,Cash,Store
ORD101346,2025-04-24,Customer_6916,North,Beauty,Shoes,1.0,54977.32,54977.32,Small Business,UPI,Store
ORD100875,2025-03-11,Customer_7499,West,Beauty,Backpack,9.0,,760450.14,Small Business,Cash,Marketplace
ORD101653,2025-02-28,Customer_1916,North,Beauty,Shoes,1.0,39246.64,39246.64,Corporate,Credit Card,Online
ORD101279,2024-09-13,Customer_3174,East,Electronics,Keyboard,5.0,16819.24,84096.2,Small Business,Credit Card,Store
ORD100786,2025-08-02,Customer_4583,WEST,Electronics,Laptop,12.0,13868.51,,Small Business,Debit Card,Store
ORD101819,2024-06-25,Customer_4029,North,Furniture,Laptop,12.0,15986.6,191839.2,Small Business,Net Banking,Online
ORD101199,,Customer_9428,West,sports,Headphones,,82975.8,248927.4,Consumer,UPI,Store
ORD100808,2024-06-29,Customer_2578,Central,Clothing,Laptop,1.0,14985.07,14985.07,Small Business,Cash,Marketplace
ORD100713,2024-01-28,Customer_4082,EAST,Grocery,Mobile,12.0,,329421.0,Small Business,,Online
ORD100101,2024-02-27,Customer_2680,South,Clothing,Keyboard,7.0,20115.88,140811.16,Small Business,Debit Card,Store
ORD101660,2024-04-23,Customer_6210,West,Clothing,Desk,5.0,52301.72,261508.6,Consumer,Net Banking,Online
ORD101191,2025-04-12,Customer_9720,North,Beauty,Headphones,6.0,67493.32,404959.92,Consumer,Credit Card,Store
ORD101226,2025-12-21,Customer_6362,West,Sports,Headphones,2.0,82918.87,165837.74,,UPI,Store
ORD100603,2025-01-28,Customer_3948,West,Sports,Shirt,10.0,79230.15,792301.5,consumer,Credit Card,Marketplace
ORD100271,2024-12-13,Customer_8642,East,Grocery,Shirt,14.0,60593.26,848305.64,Small Business,Cash,Store
ORD101385,2024-11-05,Customer_6081,Central,Electronics,Keyboard,,76283.38,762833.8,Consumer,Credit Card,Store
ORD100232,2024-03-13,Customer_3804,West,Electronics,Desk,9.0,83616.21,752545.89,Consumer,Net Banking,Online
ORD100050,2025-04-15,Customer_6772,Central,,Backpack,9.0,39275.91,353483.19,Small Business ,Cash,Store
ORD100463,2025-02-26,Customer_4267,East,Clothing,Laptop,9.0,33788.99,304100.91,Consumer,Credit Card,Online
ORD101106,2024-01-30,Customer_3194,North,Beauty,Shirt,2.0,62655.0,125310.0,,Net Banking,Marketplace
ORD100856,2025-10-23,Customer_7525,South,Grocery,Headphones,12.0,90948.08,1091376.96,Small Business,Net Banking,Marketplace
ORD100694,2024-10-06,Customer_7824,East,Electronics,Keyboard,9.0,47877.7,430899.3,Corporate,UPI,Online
ORD101552,2024-06-05,Customer_4522,East,Grocery,Backpack,9.0,91115.76,820041.84,Consumer,Debit Card,Store
ORD101873,2025-11-17,Customer_7510,South,Furniture, Chair,14.0,85082.96,1191161.44,Small Business,Cash,Marketplace
ORD100527,2024-07-20,Customer_5285,South,Beauty,Shirt,8.0,28042.38,224339.04,Corporate,Cash,Store
ORD100174,2024-07-22,Customer_3852, Central,Grocery, Shoes,10.0,94740.31,947403.1,Corporate,Credit Card,Online
ORD100721,2024-09-23,Customer_4113,East,Sports,Shirt,5.0,87938.94,439694.7,Consumer,Cash,Store
ORD100415,2024-02-22,Customer_5876,South,Grocery,Backpack,3.0,81593.29,244779.87,Corporate,UPI,Online
ORD100238,2024-02-02,Customer_5336,East,Clothing,Shirt,12.0,37347.58,448170.96,Small Business,Net Banking, Marketplace
ORD101473,2024-01-17,Customer_5979,West ,Clothing,Headphones,10.0,18985.05,189850.5,Consumer,Debit Card,
ORD101336,2025-01-09,Customer_1894,West,Sports,Keyboard,,85270.52,596893.64,Consumer,Debit Card,Online
ORD101064,2024-04-17,Customer_3858,,Beauty,Headphones,13.0,38012.34,494160.42,Consumer,Credit Card,Marketplace
ORD100024,2025-10-27,Customer_7825,Central,Furniture,Shirt,12.0,19003.23,228038.76,Consumer,Debit Card,Store
ORD101767,2025-10-12,Customer_7151,West,Grocery,Keyboard,14.0,93107.9,1303510.6,Small Business,UPI,online
ORD100064,2024-02-16,Customer_4268,East,Grocery,Monitor,10.0,99015.82,990158.2,Small Business,Cash,Online
ORD100290,2025-07-07,Customer_8648,Central, Furniture,Backpack,6.0,58508.6,351051.6,Small Business,Credit Card,Online
ORD100189,2024-02-29,Customer_2077,West,Electronics,Mobile,13.0,65064.39,845837.07,Consumer,Credit Card,Online
ORD100702,2025-02-18,Customer_2295,Central,Sports,Shirt,,52124.74,469122.66,Corporate,Credit Card,Online
ORD101815,2024-12-17,Customer_5341,Central,Electronics,Keyboard,1.0,70878.12,70878.12,Small Business,Net Banking,Store
ORD101138,2025-09-05,Customer_7290,North,Sports,Chair,8.0,13256.17,106049.36,Corporate,UPI,Online
ORD100355,2025-11-16,Customer_5902,North,Clothing,Shirt,8.0,56387.55,451100.4,Small Business,Cash,Marketplace
ORD100417,2025-10-11,,North,SPORTS,,1.0,52697.27,52697.27,Small Business,UPI,Store
ORD101246,2024-07-03,Customer_1793,South,Beauty,Shirt,7.0,,413486.71,Consumer,Debit Card,Marketplace
ORD100931,2025-05-04,Customer_3274,South,Electronics,Headphones,5.0,35661.74,178308.7,Small Business,Debit Card,Store
ORD100197,2024-05-08,Customer_3053,East,Electronics,Keyboard,2.0,4461.8,8923.6,Consumer,Net Banking,Marketplace
ORD100580,2025-11-10,Customer_9409,West,Furniture,Keyboard,14.0,56487.66,790827.24,Consumer,Cash,Marketplace
ORD101135,2024-05-28,Customer_8939,East,Electronics,Headphones ,4.0,78901.35,315605.4,Small Business,UPI,Marketplace
ORD101814,2024-04-15,Customer_9013,Central,Clothing,Headphones,7.0,78095.11,546665.77,Consumer,Credit Card,Store
ORD100993,2024-03-13,Customer_4965,Central,Grocery,Keyboard,9.0,12331.15,110980.35,Small Business,Credit Card,Marketplace
ORD100434,2024-03-18,Customer_6674,Central,Sports,,3.0,67175.32,201525.96,Corporate,Net Banking,store
,2024-02-27,Customer_2680,South,Clothing,Keyboard,7.0,20115.88,140811.16,Small Business,,
ORD101655,2024-08-08,Customer_7363,Central,Electronics,Headphones,9.0,10978.44,98805.96,Corporate,UPI,Online
ORD100395,2025-11-10,Customer_9498,North,Electronics,Keyboard,14.0,67042.59,938596.26,Consumer,Net Banking,Store
ORD101421,2024-08-29,Customer_8457,South,Sports,Laptop,10.0,57746.36,577463.6,Small Business,Net Banking,Store
ORD100221,2024-09-10,Customer_2292,Central,Sports,Backpack,11.0,3036.51,33401.61,Corporate,Debit Card,Marketplace
ORD101676,2024-11-04,Customer_1326,South,Clothing,Mobile,13.0,85436.77,1110678.01,Small Business,Cash,Store
ORD101498,2024-02-01,Customer_9061,Central,Electronics,Monitor,3.0,93024.08,279072.24,Corporate,Cash,Marketplace
ORD101785,2024-11-13,Customer_9849,CENTRAL,Furniture,Desk,13.0,41652.8,541486.4,Small Business,UPI,Marketplace
